
GL Continuity, LoLim: -0.7, HiLim: -0.3
IQ_PF10_PVCC, LoLim: -1, HiLim: 2.625

IQ_PF10_VIN, LoLim: -0.21, HiLim: 1.21

IQ_PF01_VCC, LoLim: 45, HiLim: 375

IQ_PF01_PVCC, LoLim: -5.25, HiLim: 5.25

IQ_PF01_VIN, LoLim: -0.1, HiLim: 0.1

I_PWM_Hi, LoLim: 150, HiLim: 500

I_PWM_Lo, LoLim: -500, HiLim: -150

PWM_Tri_Lo, LoLim: 0.9, HiLim: 1.1

PWM_VIH, LoLim: 11.9, HiLim: 12.1

PWM_Tri_Hi, LoLim: 0.9, HiLim: 1.1

PWM_VIL, LoLim: -0.1, HiLim: 0.1

FCCM_float, LoLim: 1.5, HiLim: 3.5

FCCM_Tri_Lo, LoLim: 0.9, HiLim: 1.1

FCCM_Tri_Hi, LoLim: 0.9, HiLim: 1.1

FCCM_VIH, LoLim: 4.9, HiLim: 5.1

FCCM_VIL, LoLim: -0.1, HiLim: 0.1

I_FCCM_Hi, LoLim: 10, HiLim: 130

I_FCCM_Lo, LoLim: -130, HiLim: 130

UVLO_Up, LoLim: 2.7, HiLim: 3.9

UVLO_Dn, LoLim: 2.5, HiLim: 3.5

UVLO_hys, LoLim: 0, HiLim: 800

LdrvSource, LoLim: 0.5, HiLim: 2.4

LdrvSink, LoLim: 0.25, HiLim: 1.1

HdrvSource, LoLim: 0.5, HiLim: 2.5

HdrvSink, LoLim: 0.5, HiLim: 2.5

HS_Vgsth, LoLim: 0.8, HiLim: 2

HSFET_VSD, LoLim: 0.65, HiLim: 1.2

HSFET_IDSS, LoLim: -0.7, HiLim: 22

HSFET_IDON, LoLim: 29, HiLim: 31

HSFET_RDSON, LoLim: 4.91, HiLim: 9.4

LS_Vgsth, LoLim: 1.1, HiLim: 2.05

LSFET_VSD, LoLim: 0.5, HiLim: 1.2

LSFET_IDSS, LoLim: 0.2, HiLim: 55

LSFET_IDON, LoLim: 29, HiLim: 31

LSFET_RDSON, LoLim: 1.806, HiLim: 4

Tr_gh, LoLim: 1, HiLim: 23.4

Tf_gh, LoLim: 1, HiLim: 31.2

Td_deadon, LoLim: 10, HiLim: 30

Tpd_plghl, LoLim: 12, HiLim: 32

Tpd_phghh, LoLim: 31, HiLim: 54

Tpd_tsghh, LoLim: 20, HiLim: 48

Tr_gl, LoLim: 1, HiLim: 40

Tf_gl, LoLim: 1, HiLim: 29

Tpd_phgll, LoLim: 16, HiLim: 36

Tpd_tsglh, LoLim: 9, HiLim: 31

Td_holdoff, LoLim: 100, HiLim: 250

Tpd_flgll, LoLim: 400, HiLim: 6000

Tpd_fhglh, LoLim: 100, HiLim: 250

Tps_exit, LoLim: 0.4, HiLim: 15

Td_por, LoLim: 1, HiLim: 15

Tdeadoff, LoLim: 3, HiLim: 50

Tdeadon, LoLim: 3, HiLim: 35

POST_I_PVCC, LoLim: -16, HiLim: 22

POST_I_VCC, LoLim: -10, HiLim: 550

POST_I_VIN, LoLim: -1, HiLim: 22

POST_I_FCCM, LoLim: 35, HiLim: 95

POST_I_PWM, LoLim: 5, HiLim: 80

DELTA_I_PVCC, LoLim: -10, HiLim: 10

DELTA_I_VCC, LoLim: -10, HiLim: 10

DELTA_I_VIN, LoLim: -30, HiLim: 39

DELTA_I_FCCM, LoLim: -1.5, HiLim: 1.95

DELTA_I_PWM, LoLim: -3.5, HiLim: 4.55
